color short,color name,color code,r,g,b,description,main_color
light_thulian_pink,Light Thulian Pink,#e68fac,230,143,172,Very soft pink,pink
light_yellow,Light Yellow,#ffffe0,255,255,224,Very pale yellow,yellow
lilac,Lilac,#c8a2c8,200,162,200,Grayish magenta,gray
lime_color_wheel,Lime (Color Wheel),#bfff00,191,255,0,Pure (or mostly pure) green,green
lime_green,Lime Green,#32cd32,50,205,50,Strong lime green,green
lime_web_x11_green,Lime (Web) (X11 Green),#0f0,0,255,0,Pure (or mostly pure) lime green,green
limerick,Limerick,#9dc209,157,194,9,Strong yellow,yellow
lincoln_green,Lincoln Green,#195905,25,89,5,Very dark lime green,black
linen,Linen,#faf0e6,250,240,230,Light grayish orange,gray
lion,Lion,#c19a6b,193,154,107,Slightly desaturated orange,orange
little_boy_blue,Little Boy Blue,#6ca0dc,108,160,220,Soft blue,blue
liver,Liver,#534b4f,83,75,79,Very dark grayish pink,black
lust,Lust,#e62020,230,32,32,Vivid red,red
magenta,Magenta,#f0f,255,0,255,Pure (or mostly pure) magenta,magenta
magenta_dye,Magenta (Dye),#ca1f7b,202,31,123,Strong pink,pink
magenta_process,Magenta (Process),#ff0090,255,0,144,Pure (or mostly pure) pink,pink
magic_mint,Magic Mint,#aaf0d1,170,240,209,Very soft cyan - lime green,green
magnolia,Magnolia,#f8f4ff,248,244,255,Very pale (mostly white) violet,white
mahogany,Mahogany,#c04000,192,64,0,Strong orange,orange
maize,Maize,#fbec5d,251,236,93,Soft yellow,yellow
majorelle_blue,Majorelle Blue,#6050dc,96,80,220,Soft blue,blue
malachite,Malachite,#0bda51,11,218,81,Vivid cyan - lime green,green
manatee,Manatee,#979aaa,151,154,170,Dark grayish blue,black
mango_tango,Mango Tango,#ff8243,255,130,67,Light orange,orange
mantis,Mantis,#74c365,116,195,101,Slightly desaturated lime green,green
mardi_gras,Mardi Gras,#880085,136,0,133,Dark magenta,black
maroon_crayola,Maroon (Crayola),#c32148,195,33,72,Strong red,red
maroon_html_css,Maroon (Html/Css),#800000,128,0,0,Dark red,black
maroon_x11,Maroon (X11),#b03060,176,48,96,Dark pink,black
mauve,Mauve,#e0b0ff,224,176,255,Pale violet,violet
mauve_taupe,Mauve Taupe,#915f6d,145,95,109,Mostly desaturated dark pink,black
mauvelous,Mauvelous,#ef98aa,239,152,170,Very soft red,red
maya_blue,Maya Blue,#73c2fb,115,194,251,Soft blue,blue
